--
-- PostgreSQL database dump
--

-- Dumped from database version 12.3
-- Dumped by pg_dump version 12.4 (Ubuntu 12.4-0ubuntu0.20.04.1)

SET statement_timeout = 0;
SET lock_timeout = 0;
SET idle_in_transaction_session_timeout = 0;
SET client_encoding = 'UTF8';
SET standard_conforming_strings = on;
SELECT pg_catalog.set_config('search_path', '', false);
SET check_function_bodies = false;
SET xmloption = content;
SET client_min_messages = warning;
SET row_security = off;

--
-- Data for Name: coin_instances; Type: TABLE DATA; Schema: public; Owner: gigalixir_admin
--

COPY public.coin_instances (id, coin_id, condition, inserted_at, updated_at, account_id, value, condition_roll, condition_natural, is_altered) FROM stdin;
65	85	0.8830163599192582	2020-09-09 01:06:45	2020-09-29 19:00:00	9	1.8494690659168844	0.9429504527114808	0.8830163599192582	\N
167	27	0.3789377820434542	2020-09-27 05:53:35	2020-10-12 02:00:00	3	1.5077871181647404	0.23758566255143454	0.3789377820434542	\N
193	62	0.4175827255062854	2020-10-03 22:57:34	2020-10-07 21:00:00	9	1.7565893533275978	0.279665328401962	0.4175827255062854	\N
53	18	0.7209558815452519	2020-09-07 21:20:28	2020-09-29 06:00:00	8	1.9856254928197496	0.8449521817993182	0.7209558815452519	\N
40	27	0.5912282180928382	2020-09-05 18:04:10	2020-10-12 02:00:00	9	2.352487224495471	0.7307455166549677	0.5912282180928382	\N
42	46	0.5515560780027686	2020-09-06 00:28:34	2020-10-22 06:00:00	7	1.060216998550439	0.6780223336027634	0.5515560780027686	\N
72	42	0.45155343214057253	2020-09-10 04:21:17	2020-10-09 05:30:00	3	1.0513547624940347	0.32694103570384314	0.45155343214057253	\N
67	84	0.4958845937686689	2020-09-09 01:33:50	2020-10-19 21:00:00	11	3.2237178434013627	0.4435785865396388	0.4958845937686689	\N
35	11	0.0392600566464576	2020-09-05 01:07:50	2020-09-29 06:00:00	12	0.0860976772905001	0.018243909835100824	0.0392600566464576	\N
10	90	0.7040552946007712	2020-09-02 00:01:05	2020-10-17 03:30:00	3	5.807837358918421	0.8326985065635188	0.7040552946007712	\N
47	55	0.4979313555490237	2020-09-07 00:18:49	2020-09-29 06:00:00	6	2.238979047094426	0.458727666303294	0.4979313555490237	\N
39	27	0.12497127523241547	2020-09-05 16:58:30	2020-10-12 02:00:00	5	0.49725862097975854	0.06127256792034219	0.12497127523241547	\N
15	59	0.5145516893078234	2020-09-02 04:39:15	2020-09-29 06:00:00	11	3.317431510036643	0.6001757178141037	0.5145516893078234	\N
46	51	0.5047940544392134	2020-09-06 16:44:31	2020-09-25 02:00:00	9	12.79003650662485	0.5604750023491891	0.5047940544392134	\N
51	71	0.866677895980706	2020-09-07 07:32:23	2020-10-06 01:30:00	7	2.220519352119143	0.9342595974043696	0.866677895980706	\N
52	23	0.25630510526911043	2020-09-07 21:19:24	2020-10-21 05:00:00	11	1.012725028815686	0.1393419312121993	0.25630510526911043	\N
44	57	0.5757033384673795	2020-09-06 04:40:26	2020-10-10 02:00:00	3	5.2760163587525994	0.7119867190578972	0.5757033384673795	\N
56	86	0.9157568907892939	2020-09-08 02:04:08	2020-09-29 06:00:00	5	4.467630875436046	0.959776773011412	0.9157568907892939	\N
33	56	0.3921020148747998	2020-09-04 05:09:05	2020-09-29 06:00:00	6	1.4613417063503056	0.25096383075311235	0.3921020148747998	\N
1	9	0.7419985023468232	2020-09-01 17:31:54	2020-10-23 05:30:00	3	2.5109290129560575	0.8595147178783433	0.7419985023468232	\N
6	33	0.5072078930404772	2020-09-01 19:56:15	2020-09-29 06:00:00	8	3.559608095069457	0.572791108944732	0.5072078930404772	\N
57	19	0.4039765315356152	2020-09-08 03:46:03	2020-09-29 06:00:00	6	1.6368537441019921	0.26381838481442355	0.4039765315356152	\N
58	21	0.31625278253621014	2020-09-08 06:45:38	2020-09-29 06:00:00	12	3.1655129277072063	0.18278280793468904	0.31625278253621014	\N
66	65	0.6057015904735061	2020-09-09 01:12:28	2020-09-29 06:00:00	3	5.876817004271625	0.7467189524624932	0.6057015904735061	\N
2	46	0.7152651662928413	2020-09-01 17:33:01	2020-10-22 06:00:00	\N	1.3749033289972563	0.8408851438682126	0.7152651662928413	\N
5	7	0.5075944774247204	2020-09-01 19:32:35	2020-10-14 00:30:00	7	1.1244296306970196	0.574540409283423	0.5075944774247204	\N
43	58	0.61825592502024	2020-09-06 01:03:24	2020-10-30 03:00:00	8	1.745817749104214	0.7596316829835057	0.61825592502024	\N
194	54	0.49256697623684587	2020-10-04 02:45:12	2020-10-05 04:00:00	6	1.7572351734497915	0.4261841228626986	0.49256697623684587	\N
28	71	0.512344415562159	2020-09-04 00:29:45	2020-10-06 01:30:00	9	1.3126799413969055	0.5929583543219785	0.512344415562159	\N
23	30	0.8272396435797857	2020-09-03 00:23:01	2020-09-29 06:00:00	8	2.1140497309506148	0.9123692999997546	0.8272396435797857	\N
14	16	0.485345222314421	2020-09-02 01:18:24	2020-09-29 06:00:00	7	1.5078190223213985	0.39950232418235665	0.485345222314421	\N
27	48	0.6049681439265266	2020-09-04 00:25:39	2020-10-24 03:00:00	3	2.9947041610324607	0.7459393183914639	0.6049681439265266	\N
7	83	0.03439188968502449	2020-09-01 21:11:58	2020-09-25 02:00:00	9	0.12761789977783086	0.015936803369993147	0.03439188968502449	\N
38	73	0.7211761631849145	2020-09-05 09:16:55	2020-09-30 10:30:00	6	3.8012140121156994	0.8451084573045033	0.7211761631849145	\N
25	65	0.5056565788409134	2020-09-03 01:02:58	2020-09-29 06:00:00	6	4.906130721121291	0.5651981670418983	0.5056565788409134	\N
